METHOD,AGENTNUM,ITERNUM,SOURCE,SCORE,TIME
Sequential,4,10,cleavland.csv,0.541254,4.669450
MPI,4,10,cleavland.csv,0.541254,2.494952
OpenMP,4,10,cleavland.csv,0.541254,3.691582
Sequential,5,10,cleavland.csv,0.547855,6.149151
MPI,5,10,cleavland.csv,0.577558,1.703040
OpenMP,5,10,cleavland.csv,0.561056,6.319092
Sequential,6,10,cleavland.csv,0.547855,15.179382
MPI,6,10,cleavland.csv,0.541254,2.843719
OpenMP,6,10,cleavland.csv,0.541254,1.535539
Sequential,7,10,cleavland.csv,0.541254,15.141847
MPI,7,10,cleavland.csv,0.541254,4.986551
OpenMP,7,10,cleavland.csv,0.541254,4.033338
Sequential,8,10,cleavland.csv,0.541254,13.685443
MPI,8,10,cleavland.csv,0.541254,2.959731
OpenMP,8,10,cleavland.csv,0.541254,7.382995
Sequential,9,10,cleavland.csv,0.541254,19.414216
MPI,9,10,cleavland.csv,0.541254,2.453440
OpenMP,9,10,cleavland.csv,0.541254,4.779147
Sequential,10,10,cleavland.csv,0.541254,20.869368
MPI,10,10,cleavland.csv,0.541254,3.325299
OpenMP,10,10,cleavland.csv,0.541254,7.154636
Sequential,11,10,cleavland.csv,0.541254,14.155207
MPI,11,10,cleavland.csv,0.541254,3.688470
OpenMP,11,10,cleavland.csv,0.541254,9.009914
Sequential,12,10,cleavland.csv,0.541254,16.862902
MPI,12,10,cleavland.csv,0.541254,3.861183
OpenMP,12,10,cleavland.csv,0.541254,4.839452
Sequential,13,10,cleavland.csv,0.541254,20.236480
MPI,13,10,cleavland.csv,0.541254,3.155582
OpenMP,13,10,cleavland.csv,0.541254,6.385691
Sequential,5,10,cleavland.csv,0.541254,4.470443
MPI,5,10,cleavland.csv,0.541254,2.810395
OpenMP,5,10,cleavland.csv,0.541254,5.416398
Sequential,5,20,cleavland.csv,0.541254,12.059497
MPI,5,20,cleavland.csv,0.541254,6.698815
OpenMP,5,20,cleavland.csv,0.541254,5.034954
Sequential,5,30,cleavland.csv,0.541254,13.079916
MPI,5,30,cleavland.csv,0.541254,11.812566
OpenMP,5,30,cleavland.csv,0.541254,2.744116
Sequential,5,40,cleavland.csv,0.541254,9.718089
MPI,5,40,cleavland.csv,0.541254,7.695547
OpenMP,5,40,cleavland.csv,0.541254,9.213946
Sequential,5,50,cleavland.csv,0.541254,23.445083
MPI,5,50,cleavland.csv,0.541254,6.877526
OpenMP,5,50,cleavland.csv,0.541254,5.495578
Sequential,5,60,cleavland.csv,0.541254,40.790167
MPI,5,60,cleavland.csv,0.541254,10.658131
OpenMP,5,60,cleavland.csv,0.541254,29.998063
Sequential,5,70,cleavland.csv,0.541254,40.142237
MPI,5,70,cleavland.csv,0.541254,9.322502
OpenMP,5,70,cleavland.csv,0.541254,16.029383
Sequential,5,80,cleavland.csv,0.541254,8.162107
MPI,5,80,cleavland.csv,0.541254,10.599068
OpenMP,5,80,cleavland.csv,0.541254,17.398537
Sequential,5,90,cleavland.csv,0.541254,80.360118
MPI,5,90,cleavland.csv,0.541254,20.367183
OpenMP,5,90,cleavland.csv,0.541254,44.353525
Sequential,5,100,cleavland.csv,0.541254,21.481462
MPI,5,100,cleavland.csv,0.541254,33.902676
OpenMP,5,100,cleavland.csv,0.541254,16.292182
